,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,run_seed
0,63927,3.1963500000000002,1.3956006631688422,1.6855721651042277,2.7602,4.1558,1.52055,2.91615,0.3539572419651706,2.8252,16.85572165104228,1
1,120431,6.02155,0.9419837241867907,4.307558046518231,5.67635,6.6183000000000005,1.7619999999999996,2.7039999999999997,0.37365018869334526,2.6763000000000003,43.075580465182355,1
2,173957,8.69785,0.9533891602986158,4.639692232597291,8.38035,9.3337,1.7984000000000009,2.751800000000001,0.36268020672771795,2.757249999999999,46.39692232597295,1
3,229102,11.4551,0.9706631754562579,4.677743657007532,11.132100000000001,12.10275,1.815900000000001,2.78655,0.3574875773066884,2.7973000000000017,46.77743657007531,1
4,285048,14.252400000000002,0.9569301122781152,4.6705047178804975,13.918700000000001,14.87565,1.8264499999999995,2.7833999999999985,0.36026299198414863,2.7757499999999986,46.70504717880496,1
5,340563,17.02815,0.9572679222578707,4.659046889781415,16.7021,17.65935,1.8214000000000006,2.7787000000000006,0.359040643400833,2.7851999999999997,46.59046889781418,1
6,396267,19.81335,0.962426536913903,4.640380668966301,19.480800000000002,20.4432,1.831150000000001,2.7936000000000014,0.35774975404704373,2.795250000000003,46.403806689663035,1
7,452172,22.608600000000003,0.9580481270832534,4.603454281936081,22.274350000000002,23.232400000000002,1.8558999999999983,2.8139499999999984,0.3544402502348168,2.821349999999999,46.03454281936085,1
8,508599,25.42995,0.9619191027980386,4.625348322286783,25.088350000000002,26.050250000000002,1.8447999999999993,2.806750000000001,0.35668426309031254,2.8035999999999994,46.253483222867814,1
9,564671,28.23355,0.9491330356361112,4.598189014748442,27.89505,28.8442,1.840799999999998,2.7898999999999994,0.3598610936178632,2.778850000000002,45.981890147484414,1
10,620248,31.012400000000003,0.9587296183043742,4.608255512171951,30.685000000000002,31.643700000000003,1.8657499999999985,2.8245000000000005,0.35356928190078907,2.828299999999995,46.08255512171952,1
11,676814,33.8407,0.9463291395994137,4.612505420246471,33.50945,34.4558,1.8402499999999975,2.7865499999999983,0.3566333808844505,2.804000000000002,46.12505420246469,1
12,732894,36.6447,0.9550938106156828,4.561446624396062,36.29605,37.25115,1.8323000000000036,2.787400000000005,0.3606722931544393,2.772600000000004,45.6144662439606,1
13,788346,39.417300000000004,0.9473937706501049,4.569562027913449,39.08345,40.03085,1.836350000000003,2.7837499999999977,0.3574364656682276,2.797699999999999,45.695620279134474,1
14,844300,42.215,0.940061996271537,4.524371066851472,41.86715,42.80725,1.8253500000000003,2.7653999999999996,0.36293688527565077,2.7552999999999983,45.24371066851474,1
15,899406,44.9703,0.9279995695641323,4.596390959432561,44.63255,45.56055,1.8391500000000036,2.767150000000001,0.3599582448435979,2.778100000000002,45.96390959432561,1
16,954968,47.748400000000004,0.9202407307547168,4.538272536838299,47.399750000000004,48.32,1.860749999999996,2.780999999999999,0.3608870603944497,2.770949999999999,45.382725368382985,1
17,1010387,50.51935,0.9356526371446788,4.560350441144443,50.18075,51.116400000000006,1.8607000000000014,2.796350000000004,0.3564617605646358,2.805349999999997,45.60350441144444,1
18,1066494,53.3247,0.94564238007674,4.529734677791389,52.977050000000006,53.922700000000006,1.8548999999999936,2.800549999999994,0.35806359209395594,2.7927999999999997,45.297346777913916,1
19,1122350,56.1175,0.9365263304188266,4.508716380819209,55.7776,56.714150000000004,1.8697000000000017,2.806200000000004,0.3560556158872011,2.808550000000004,45.08716380819211,1
20,1178521,58.926050000000004,0.9418832623893628,4.486989442471732,58.583800000000004,59.5257,1.8711999999999946,2.813049999999997,0.35388834822613474,2.8257499999999993,44.869894424717344,1
21,1235036,61.7518,0.9400291391847656,4.489473041453593,61.39685,62.3369,1.8802999999999983,2.820300000000003,0.35488049399364674,2.817850000000007,44.89473041453595,1
22,1291393,64.56965000000001,0.9266225442511729,4.491518164084454,64.21715,65.1438,1.879400000000004,2.8059999999999974,0.35498127473775826,2.8170499999999947,44.91518164084455,1
23,1347734,67.3867,0.930108131558646,4.465314640572245,67.02315,67.9533,1.895050000000012,2.825150000000008,0.35590988361746906,2.8096999999999923,44.65314640572245,1
24,1403928,70.1964,0.9299746710855514,4.431217808268158,69.84830000000001,70.7783,1.88900000000001,2.818950000000001,0.35329447094152966,2.8305000000000007,44.3121780826816,1
25,1460538,73.0269,0.9287601867118618,4.436058488430625,72.66725000000001,73.596,1.8876499999999936,2.8163999999999874,0.3536192934686517,2.8278999999999996,44.36058488430626,1
26,1517096,75.8548,0.9564995154508623,4.382132562676489,75.4837,76.4402,1.8654999999999973,2.8220000000000027,0.3540449637103912,2.8245000000000005,43.82132562676489,1
27,1573586,78.6793,0.9487333218047629,4.374782936182314,78.30565,79.2544,1.8841000000000037,2.832800000000006,0.3530637103465314,2.8323500000000053,43.747829361823136,1
28,1630233,81.51165,0.933431653442944,4.351898027080345,81.13845,82.0719,1.8758499999999998,2.8092499999999916,0.35613169750173546,2.8079500000000053,43.518980270803496,1
29,1686392,84.31960000000001,0.9349833508940764,4.3470061274320315,83.9477,84.8827,1.8736000000000104,2.808550000000011,0.357110972234623,2.8002499999999912,43.470061274320315,1
30,1742397,87.11985,0.9188850111322827,4.313795035520641,86.75630000000001,87.6752,1.8734000000000037,2.7922999999999973,0.3581212956828479,2.792349999999999,43.137950355206414,1
31,1798244,89.9122,0.9184060311997426,4.385387034849359,89.54855,90.46695000000001,1.8673000000000002,2.7857000000000056,0.3585771658060803,2.788800000000009,43.85387034849363,1
32,1854020,92.70100000000001,0.9034539139828646,4.325331669449909,92.3343,93.23775,1.8653000000000048,2.768799999999999,0.36090008481152047,2.770849999999996,43.253316694499084,1
33,1909437,95.47185,0.9313476402324974,4.332752140727884,95.1031,96.03445,1.882400000000004,2.813749999999999,0.3542707336946898,2.8226999999999975,43.32752140727888,1
34,1965891,98.29455,0.925391933787812,4.298380885288154,97.91685000000001,98.84225,1.9023499999999984,2.8277499999999947,0.3531821713639893,2.831400000000002,42.983808852881566,1
35,2022519,101.12595,0.93487533032191,4.311461861725803,100.74455,101.67945,1.9105500000000006,2.845399999999998,0.3502258957027283,2.8552999999999997,43.11461861725804,1
36,2079625,103.98125,0.9330444004266407,4.277255472504727,103.58995,104.52300000000001,1.91279999999999,2.8458499999999987,0.3528208023145046,2.834299999999999,42.77255472504727,1
37,2136311,106.81555,0.9145701767713065,4.267626552829981,106.4358,107.35040000000001,1.89255,2.8071000000000055,0.35414527038991367,2.8237000000000023,42.676265528299794,1
38,2192785,109.63925,0.9413046424394241,4.2218719997277745,109.24295000000001,110.18425,1.8923500000000075,2.8336500000000058,0.3517040059086274,2.8432999999999993,42.218719997277766,1
39,2249651,112.48255,0.9496124630144333,4.189544447846082,112.07655000000001,113.02615,1.9101500000000016,2.859749999999991,0.350594257266066,2.8522999999999996,41.8954444784608,1
40,2306697,115.33485,0.9402825640363386,4.208151452994045,114.9363,115.87660000000001,1.9026499999999942,2.8429,0.35001750087504385,2.8569999999999993,42.08151452994043,1
41,2363837,118.19185,0.9370262809961569,4.197404878457689,117.7792,118.71625,1.8991000000000042,2.836100000000002,0.35175349115339966,2.8429,41.97404878457689,1
42,2420695,121.03475,0.9537312251170166,4.129004418156526,120.6153,121.56905,1.9010999999999996,2.8547999999999973,0.3504898095087886,2.8531499999999994,41.29004418156525,1
43,2477758,123.8879,0.9497759547491326,4.135770906179097,123.4701,124.41990000000001,1.8871999999999929,2.8369500000000016,0.35172256124368995,2.8431500000000085,41.35770906179096,1
44,2534621,126.73105000000001,0.9493846528636525,4.103390913561547,126.3071,127.25645,1.8833500000000072,2.8327500000000043,0.3518772652098936,2.8419000000000096,41.03390913561546,1
