run_seed,oprm1_T_oprm1_T,oprm1_T_oprm1_B,oprm1_T_oprm1_Q,oprm1_B_oprm1_T,oprm1_B_oprm1_B,oprm1_B_oprm1_Q,oprm1_Q_oprm1_T,oprm1_Q_oprm1_B,oprm1_Q_oprm1_Q,exc_T_oprm1_T,exc_T_oprm1_B,exc_T_oprm1_Q,exc_B_oprm1_T,exc_B_oprm1_B,exc_B_oprm1_Q,exc_Q_oprm1_T,exc_Q_oprm1_B,exc_Q_oprm1_Q,inh_T_oprm1_T,inh_T_oprm1_B,inh_T_oprm1_Q,inh_B_oprm1_T,inh_B_oprm1_B,inh_B_oprm1_Q,inh_Q_oprm1_T,inh_Q_oprm1_B,inh_Q_oprm1_Q,oprm1_T_exc_T,oprm1_T_exc_B,oprm1_T_exc_Q,oprm1_B_exc_T,oprm1_B_exc_B,oprm1_B_exc_Q,oprm1_Q_exc_T,oprm1_Q_exc_B,oprm1_Q_exc_Q,oprm1_T_inh_T,oprm1_T_inh_B,oprm1_T_inh_Q,oprm1_B_inh_T,oprm1_B_inh_B,oprm1_B_inh_Q,oprm1_Q_inh_T,oprm1_Q_inh_B,oprm1_Q_inh_Q,exc_T_exc_T,exc_T_exc_B,exc_T_exc_Q,exc_B_exc_T,exc_B_exc_B,exc_B_exc_Q,exc_Q_exc_T,exc_Q_exc_B,exc_Q_exc_Q,exc_T_inh_T,exc_T_inh_B,exc_T_inh_Q,exc_B_inh_T,exc_B_inh_B,exc_B_inh_Q,exc_Q_inh_T,exc_Q_inh_B,exc_Q_inh_Q,inh_T_exc_T,inh_T_exc_B,inh_T_exc_Q,inh_B_exc_T,inh_B_exc_B,inh_B_exc_Q,inh_Q_exc_T,inh_Q_exc_B,inh_Q_exc_Q,inh_T_inh_T,inh_T_inh_B,inh_T_inh_Q,inh_B_inh_T,inh_B_inh_B,inh_B_inh_Q,inh_Q_inh_T,inh_Q_inh_B,inh_Q_inh_Q,I_opioid_shutdown
1,54,6,59,8,0,9,79,9,56,71,4,53,6,1,1,81,6,57,3,0,8,3,2,3,53,3,57,79,5,93,8,0,4,78,1,66,3,5,63,0,3,9,3,8,53,71,2,65,5,0,5,72,7,57,4,6,62,0,0,9,8,5,69,3,0,4,2,0,3,64,3,71,1,0,2,0,0,2,2,5,62,5.300000000000002
2,65,15,68,6,4,12,56,7,60,62,12,60,7,1,9,67,17,56,4,1,3,7,2,6,57,15,45,61,10,65,14,3,11,56,8,52,6,7,46,1,0,10,4,2,46,62,10,53,6,1,8,61,9,78,4,2,54,0,1,5,5,2,47,8,0,6,5,0,7,58,4,63,0,0,6,0,0,3,1,8,36,5.240000000000001
3,74,4,54,8,0,5,88,10,45,63,4,64,20,0,10,61,5,71,3,0,4,13,0,5,54,4,56,60,10,79,4,1,2,55,5,63,7,8,57,0,1,6,6,5,54,46,15,68,12,2,8,53,12,73,11,11,53,3,0,9,5,6,79,6,2,4,10,3,10,54,6,54,1,0,6,1,0,6,3,9,47,4.96
4,50,5,57,11,3,7,59,13,99,64,7,65,6,0,13,48,11,73,6,0,7,5,1,4,53,10,64,62,11,41,10,3,14,61,10,71,6,0,51,3,1,9,5,5,61,74,5,56,9,0,9,63,12,44,8,5,59,1,0,11,4,5,57,12,1,7,7,1,4,62,10,45,2,1,5,0,0,5,7,7,53,4.920000000000001
5,72,13,60,17,3,13,50,12,48,75,22,69,5,0,3,63,20,51,7,0,5,1,1,1,65,12,65,93,7,64,21,2,17,68,4,52,5,1,55,0,0,16,3,0,55,83,8,55,13,1,7,67,7,50,7,6,70,1,0,4,3,1,44,5,0,4,2,0,3,52,7,60,0,0,3,0,0,1,4,4,69,5.68
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,48,10,68,12,2,6,38,12,69,59,6,68,5,0,4,52,10,65,4,0,8,10,0,8,49,9,53,68,6,53,16,1,7,74,11,54,5,8,52,2,2,9,5,7,58,70,12,72,6,2,5,62,5,47,4,15,55,0,1,7,7,14,47,5,0,4,10,1,2,61,13,54,0,0,9,2,1,7,4,5,44,5.433333333333334
8,53,9,55,3,0,7,64,12,78,60,12,71,13,2,9,54,4,69,2,1,2,4,1,9,50,5,63,54,13,49,11,1,7,59,16,61,8,10,61,0,0,6,4,14,54,77,8,62,16,3,19,61,16,49,0,19,52,1,0,12,3,8,46,3,0,4,13,2,7,58,10,48,0,1,6,0,2,8,4,11,44,5.926666666666668
9,43,8,63,6,0,13,56,9,80,60,12,91,6,1,3,49,9,56,1,0,2,2,2,2,45,12,68,50,3,44,9,1,6,72,4,65,1,2,50,1,0,10,5,4,63,100,3,74,7,0,7,71,6,45,2,6,73,0,2,5,1,3,56,1,1,2,7,0,3,86,3,54,0,1,2,2,0,5,1,7,54,5.573333333333332
10,74,8,65,10,0,8,61,9,52,66,7,65,12,0,8,69,8,49,3,0,1,7,1,8,61,3,60,61,9,68,4,0,5,74,12,64,0,6,56,0,0,1,0,7,56,70,9,67,17,1,8,67,9,59,1,4,64,0,0,10,0,3,48,1,0,0,7,0,5,59,7,55,0,0,0,0,0,4,2,4,52,5.226666666666668
11,65,9,71,16,2,10,63,12,68,81,7,84,3,0,5,56,13,53,1,0,0,4,0,6,67,8,60,84,5,55,6,0,11,80,6,46,1,3,60,0,0,6,2,8,67,94,3,72,5,0,3,59,3,56,5,4,74,1,1,7,1,4,54,0,1,1,5,0,5,88,2,50,0,0,0,0,0,7,1,4,63,5.8
12,66,12,58,15,0,8,52,9,58,72,15,89,14,3,9,67,7,62,4,0,2,5,1,3,53,10,57,64,7,58,12,0,8,68,7,50,5,6,58,1,0,8,4,1,51,93,10,58,15,5,6,65,10,45,3,2,61,0,1,9,3,7,61,5,1,4,6,0,3,72,7,46,0,0,3,0,0,7,9,4,51,6.080000000000001
13,110,3,69,1,0,1,76,2,31,111,3,49,5,0,3,76,5,43,1,0,0,2,0,3,90,3,34,88,10,94,6,0,4,60,1,38,1,1,79,0,0,4,2,1,50,82,3,67,7,0,7,67,0,42,0,2,87,0,0,3,0,3,57,2,0,1,3,0,3,70,2,49,0,0,0,0,0,0,0,1,51,5.32
14,108,6,65,9,1,0,80,5,42,68,9,61,9,2,10,72,5,48,3,0,3,3,2,4,88,8,47,76,8,66,6,1,7,65,12,44,1,5,75,0,0,9,3,2,55,65,14,59,12,0,10,62,13,52,2,4,72,0,0,8,3,4,60,2,1,0,3,1,3,59,12,67,0,0,1,0,0,7,7,2,51,5.2
