run_seed,Condition,Amplitude Irregularity,Condition
1,Control,0.014680030895412933,Control
1,DAMGO,0.2815270152559275,DAMGO
1,DAMGO + $G_{Leak} \times 0.5$,0.15205635519563077,DAMGO + $G_{Leak} \times 0.5$
1,DAMGO + $G_{Leak} \times 0.7$,0.05290707855280334,DAMGO + $G_{Leak} \times 0.7$
1,DAMGO + $G_{Leak} \times 0.9$,0.025829986755825873,DAMGO + $G_{Leak} \times 0.9$
2,Control,0.37309443151961924,Control
2,DAMGO,0.45112976127935434,DAMGO
2,DAMGO + $G_{Leak} \times 0.5$,0.09856863182852575,DAMGO + $G_{Leak} \times 0.5$
2,DAMGO + $G_{Leak} \times 0.7$,0.11870849379238639,DAMGO + $G_{Leak} \times 0.7$
2,DAMGO + $G_{Leak} \times 0.9$,0.09252732094122254,DAMGO + $G_{Leak} \times 0.9$
3,Control,0.011105186920518107,Control
3,DAMGO,0.15902498865361447,DAMGO
3,DAMGO + $G_{Leak} \times 0.5$,0.086077650939925,DAMGO + $G_{Leak} \times 0.5$
3,DAMGO + $G_{Leak} \times 0.7$,0.0515237530009423,DAMGO + $G_{Leak} \times 0.7$
3,DAMGO + $G_{Leak} \times 0.9$,0.018783246274684938,DAMGO + $G_{Leak} \times 0.9$
4,Control,0.011491727978387753,Control
4,DAMGO,0.6114949211231339,DAMGO
4,DAMGO + $G_{Leak} \times 0.5$,0.03698970475024203,DAMGO + $G_{Leak} \times 0.5$
4,DAMGO + $G_{Leak} \times 0.7$,0.061173020451883185,DAMGO + $G_{Leak} \times 0.7$
4,DAMGO + $G_{Leak} \times 0.9$,0.22552475289439386,DAMGO + $G_{Leak} \times 0.9$
5,Control,0.025657844922389934,Control
5,DAMGO,0.29304873732757425,DAMGO
5,DAMGO + $G_{Leak} \times 0.5$,0.12239411781998424,DAMGO + $G_{Leak} \times 0.5$
5,DAMGO + $G_{Leak} \times 0.7$,0.05686187218599844,DAMGO + $G_{Leak} \times 0.7$
5,DAMGO + $G_{Leak} \times 0.9$,0.05331193276731457,DAMGO + $G_{Leak} \times 0.9$
6,Control,0.0272071024856121,Control
6,DAMGO,0.37195321972754775,DAMGO
6,DAMGO + $G_{Leak} \times 0.5$,0.028456453419321903,DAMGO + $G_{Leak} \times 0.5$
6,DAMGO + $G_{Leak} \times 0.7$,0.04754922558141863,DAMGO + $G_{Leak} \times 0.7$
6,DAMGO + $G_{Leak} \times 0.9$,0.05172641922828099,DAMGO + $G_{Leak} \times 0.9$
7,Control,0.03126370112525273,Control
7,DAMGO,0.1289362741419619,DAMGO
7,DAMGO + $G_{Leak} \times 0.5$,0.126790603080229,DAMGO + $G_{Leak} \times 0.5$
7,DAMGO + $G_{Leak} \times 0.7$,0.09814941857324255,DAMGO + $G_{Leak} \times 0.7$
