run_seed,Condition,Frequency,Condition
1,Control,0.3637446429109919,Control
1,DAMGO,0.3199131937611251,DAMGO
1,DAMGO + $G_{Leak} \times 0.5$,0.30137826572123994,DAMGO + $G_{Leak} \times 0.5$
1,DAMGO + $G_{Leak} \times 0.7$,0.31559096662445957,DAMGO + $G_{Leak} \times 0.7$
1,DAMGO + $G_{Leak} \times 0.9$,0.29730864715704886,DAMGO + $G_{Leak} \times 0.9$
2,Control,0.41928369641807733,Control
2,DAMGO,0.2741002524537001,DAMGO
2,DAMGO + $G_{Leak} \times 0.5$,0.2927714696874697,DAMGO + $G_{Leak} \times 0.5$
2,DAMGO + $G_{Leak} \times 0.7$,0.2646462818976493,DAMGO + $G_{Leak} \times 0.7$
2,DAMGO + $G_{Leak} \times 0.9$,0.2548496859932005,DAMGO + $G_{Leak} \times 0.9$
3,Control,0.3590548212558778,Control
3,DAMGO,0.3395479338810209,DAMGO
3,DAMGO + $G_{Leak} \times 0.5$,0.32180916296964557,DAMGO + $G_{Leak} \times 0.5$
3,DAMGO + $G_{Leak} \times 0.7$,0.3581662712046134,DAMGO + $G_{Leak} \times 0.7$
3,DAMGO + $G_{Leak} \times 0.9$,0.33686294278782947,DAMGO + $G_{Leak} \times 0.9$
4,Control,0.35827192259009844,Control
4,DAMGO,0.2999305124324503,DAMGO
4,DAMGO + $G_{Leak} \times 0.5$,0.3223363114689521,DAMGO + $G_{Leak} \times 0.5$
4,DAMGO + $G_{Leak} \times 0.7$,0.3296032935817016,DAMGO + $G_{Leak} \times 0.7$
4,DAMGO + $G_{Leak} \times 0.9$,0.29647207597959724,DAMGO + $G_{Leak} \times 0.9$
5,Control,0.393728187928688,Control
5,DAMGO,0.31685112597980564,DAMGO
5,DAMGO + $G_{Leak} \times 0.5$,0.3290311083354628,DAMGO + $G_{Leak} \times 0.5$
5,DAMGO + $G_{Leak} \times 0.7$,0.3298723658027767,DAMGO + $G_{Leak} \times 0.7$
5,DAMGO + $G_{Leak} \times 0.9$,0.3111518735379299,DAMGO + $G_{Leak} \times 0.9$
6,Control,0.3686688854311717,Control
6,DAMGO,0.33746139895566984,DAMGO
6,DAMGO + $G_{Leak} \times 0.5$,0.3250785011231725,DAMGO + $G_{Leak} \times 0.5$
6,DAMGO + $G_{Leak} \times 0.7$,0.33932655476803625,DAMGO + $G_{Leak} \times 0.7$
6,DAMGO + $G_{Leak} \times 0.9$,0.32348500557986065,DAMGO + $G_{Leak} \times 0.9$
7,Control,0.3983197272659003,Control
7,DAMGO,0.2907565984332658,DAMGO
7,DAMGO + $G_{Leak} \times 0.5$,0.33564132038658867,DAMGO + $G_{Leak} \times 0.5$
7,DAMGO + $G_{Leak} \times 0.7$,0.3422984552822117,DAMGO + $G_{Leak} \times 0.7$
7,DAMGO + $G_{Leak} \times 0.9$,0.3349772213501549,DAMGO + $G_{Leak} \times 0.9$
8,Control,0.37330328341272107,Control
8,DAMGO,0.30340183025321804,DAMGO
8,DAMGO + $G_{Leak} \times 0.5$,0.4498582300335853,DAMGO + $G_{Leak} \times 0.5$
8,DAMGO + $G_{Leak} \times 0.7$,0.2845450929935737,DAMGO + $G_{Leak} \times 0.7$
8,DAMGO + $G_{Leak} \times 0.9$,0.2841166499306604,DAMGO + $G_{Leak} \times 0.9$
9,Control,0.3942307646056026,Control
9,DAMGO,0.3365575029787334,DAMGO
9,DAMGO + $G_{Leak} \times 0.5$,0.27893860071641197,DAMGO + $G_{Leak} \times 0.5$
9,DAMGO + $G_{Leak} \times 0.7$,0.3693428085781431,DAMGO + $G_{Leak} \times 0.7$
9,DAMGO + $G_{Leak} \times 0.9$,0.356665026421646,DAMGO + $G_{Leak} \times 0.9$
10,Control,0.3283052058612955,Control
10,DAMGO,0.3812765757519408,DAMGO
10,DAMGO + $G_{Leak} \times 0.9$,0.25807874491277505,DAMGO + $G_{Leak} \times 0.9$
11,Control,0.37869914750352573,Control
11,DAMGO,0.3801641459731765,DAMGO
11,DAMGO + $G_{Leak} \times 0.5$,0.4541500967229272,DAMGO + $G_{Leak} \times 0.5$
