run_seed,Condition,Frequency Irregularity,Condition
1,Control,0.2343033176464794,Control
1,DAMGO,0.0981548971439004,DAMGO
1,DAMGO + $G_{Leak} \times 0.5$,0.09463245649354167,DAMGO + $G_{Leak} \times 0.5$
1,DAMGO + $G_{Leak} \times 0.7$,0.1202422108368691,DAMGO + $G_{Leak} \times 0.7$
1,DAMGO + $G_{Leak} \times 0.9$,0.07300781437157251,DAMGO + $G_{Leak} \times 0.9$
2,Control,0.259558066457729,Control
2,DAMGO,0.10983148840297412,DAMGO
2,DAMGO + $G_{Leak} \times 0.5$,0.1324887277333022,DAMGO + $G_{Leak} \times 0.5$
2,DAMGO + $G_{Leak} \times 0.7$,0.07795087244997093,DAMGO + $G_{Leak} \times 0.7$
2,DAMGO + $G_{Leak} \times 0.9$,0.07565268727404843,DAMGO + $G_{Leak} \times 0.9$
3,Control,0.16266147936811443,Control
3,DAMGO,0.14965167248135713,DAMGO
3,DAMGO + $G_{Leak} \times 0.5$,0.03177937910047347,DAMGO + $G_{Leak} \times 0.5$
3,DAMGO + $G_{Leak} \times 0.7$,0.03026040238164949,DAMGO + $G_{Leak} \times 0.7$
3,DAMGO + $G_{Leak} \times 0.9$,0.02188293845370908,DAMGO + $G_{Leak} \times 0.9$
4,Control,0.1682247871824432,Control
4,DAMGO,0.26142976405936375,DAMGO
4,DAMGO + $G_{Leak} \times 0.5$,0.06875896289325044,DAMGO + $G_{Leak} \times 0.5$
4,DAMGO + $G_{Leak} \times 0.7$,0.04715107831936323,DAMGO + $G_{Leak} \times 0.7$
4,DAMGO + $G_{Leak} \times 0.9$,0.10094664451729113,DAMGO + $G_{Leak} \times 0.9$
5,Control,0.17435526723364486,Control
5,DAMGO,0.16971310517229446,DAMGO
5,DAMGO + $G_{Leak} \times 0.5$,0.04018472687161776,DAMGO + $G_{Leak} \times 0.5$
5,DAMGO + $G_{Leak} \times 0.7$,0.046973013132533395,DAMGO + $G_{Leak} \times 0.7$
5,DAMGO + $G_{Leak} \times 0.9$,0.07069462895574394,DAMGO + $G_{Leak} \times 0.9$
6,Control,0.09234352782659967,Control
6,DAMGO,0.1540989674072096,DAMGO
6,DAMGO + $G_{Leak} \times 0.5$,0.027145119440946684,DAMGO + $G_{Leak} \times 0.5$
6,DAMGO + $G_{Leak} \times 0.7$,0.026857316530066823,DAMGO + $G_{Leak} \times 0.7$
6,DAMGO + $G_{Leak} \times 0.9$,0.05171050086709493,DAMGO + $G_{Leak} \times 0.9$
7,Control,0.14547364534403037,Control
7,DAMGO,0.20150625769400884,DAMGO
7,DAMGO + $G_{Leak} \times 0.5$,0.16484223742593013,DAMGO + $G_{Leak} \times 0.5$
7,DAMGO + $G_{Leak} \times 0.7$,0.11765096525918942,DAMGO + $G_{Leak} \times 0.7$
7,DAMGO + $G_{Leak} \times 0.9$,0.2219316634500724,DAMGO + $G_{Leak} \times 0.9$
8,Control,0.4678625347611621,Control
8,DAMGO,0.33450714993567515,DAMGO
8,DAMGO + $G_{Leak} \times 0.5$,0.2916964778069122,DAMGO + $G_{Leak} \times 0.5$
8,DAMGO + $G_{Leak} \times 0.7$,0.07253882714508418,DAMGO + $G_{Leak} \times 0.7$
8,DAMGO + $G_{Leak} \times 0.9$,0.074148217147783,DAMGO + $G_{Leak} \times 0.9$
9,Control,0.15025889005932255,Control
9,DAMGO,0.3948322666056091,DAMGO
9,DAMGO + $G_{Leak} \times 0.5$,0.0732309534223653,DAMGO + $G_{Leak} \times 0.5$
9,DAMGO + $G_{Leak} \times 0.7$,0.312307739083684,DAMGO + $G_{Leak} \times 0.7$
9,DAMGO + $G_{Leak} \times 0.9$,0.11934301974903039,DAMGO + $G_{Leak} \times 0.9$
10,Control,0.24528713807601776,Control
10,DAMGO,0.4349988414899048,DAMGO
10,DAMGO + $G_{Leak} \times 0.9$,0.29532438771488284,DAMGO + $G_{Leak} \times 0.9$
11,Control,0.21120594860840297,Control
11,DAMGO,0.17666924584235072,DAMGO
11,DAMGO + $G_{Leak} \times 0.5$,0.40677148158108306,DAMGO + $G_{Leak} \times 0.5$
11,DAMGO + $G_{Leak} \times 0.7$,0.08933777396271819,DAMGO + $G_{Leak} \times 0.7$
11,DAMGO + $G_{Leak} \times 0.9$,0.18967601205487553,DAMGO + $G_{Leak} \times 0.9$
12,Control,0.14470662548748264,Control
12,DAMGO,0.1463997031609412,DAMGO
12,DAMGO + $G_{Leak} \times 0.5$,0.03826109089593585,DAMGO + $G_{Leak} \times 0.5$
12,DAMGO + $G_{Leak} \times 0.7$,0.03996710833124402,DAMGO + $G_{Leak} \times 0.7$
12,DAMGO + $G_{Leak} \times 0.9$,0.16053629217103768,DAMGO + $G_{Leak} \times 0.9$
13,Control,0.1387991687305278,Control
13,DAMGO,0.22293045200090927,DAMGO
13,DAMGO + $G_{Leak} \times 0.5$,0.028175898516112387,DAMGO + $G_{Leak} \times 0.5$
13,DAMGO + $G_{Leak} \times 0.7$,0.0773218483391558,DAMGO + $G_{Leak} \times 0.7$
13,DAMGO + $G_{Leak} \times 0.9$,0.017793986909945683,DAMGO + $G_{Leak} \times 0.9$
14,Control,0.1996712804182576,Control
14,DAMGO,0.3260230600464157,DAMGO
14,DAMGO + $G_{Leak} \times 0.5$,0.5633723404715432,DAMGO + $G_{Leak} \times 0.5$
14,DAMGO + $G_{Leak} \times 0.7$,0.3312021985406419,DAMGO + $G_{Leak} \times 0.7$
14,DAMGO + $G_{Leak} \times 0.9$,0.11383196523745212,DAMGO + $G_{Leak} \times 0.9$
15,Control,0.34795599888108264,Control
15,DAMGO,0.3407931144483483,DAMGO
15,DAMGO + $G_{Leak} \times 0.5$,0.11838400768282975,DAMGO + $G_{Leak} \times 0.5$
15,DAMGO + $G_{Leak} \times 0.7$,0.17045076111489774,DAMGO + $G_{Leak} \times 0.7$
15,DAMGO + $G_{Leak} \times 0.9$,0.17808510031795302,DAMGO + $G_{Leak} \times 0.9$
16,Control,0.6110068116364668,Control
16,DAMGO,0.2862517243244576,DAMGO
16,DAMGO + $G_{Leak} \times 0.5$,0.11680097678043003,DAMGO + $G_{Leak} \times 0.5$
16,DAMGO + $G_{Leak} \times 0.7$,0.13261395636484424,DAMGO + $G_{Leak} \times 0.7$
16,DAMGO + $G_{Leak} \times 0.9$,0.04117041067684149,DAMGO + $G_{Leak} \times 0.9$
17,Control,0.49059689478704976,Control
17,DAMGO,0.817372298713831,DAMGO
17,DAMGO + $G_{Leak} \times 0.5$,0.5458243380173483,DAMGO + $G_{Leak} \times 0.5$
