,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{Leak}$ str
0,69123,3.45615,1.4555417759346883,3.6390220670437614,2.734,4.1895,1.2719000000000005,2.72745,0.358487184083169,2.7895000000000003,18.396719775936255,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
1,124913,6.24565,1.3003773052851584,3.604333698010585,5.4614,6.7618,1.504550000000001,2.804900000000001,0.38199285673357913,2.61785,30.389931230768273,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
2,177270,8.8635,1.1566562009272545,4.16063742256782,8.266300000000001,9.42295,1.56935,2.725999999999999,0.38347234205732894,2.607750000000001,35.78898310792161,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
3,229425,11.471250000000001,1.0990729388642213,4.061002950025554,10.9923,12.0914,1.4784500000000005,2.5775000000000006,0.3663204938000258,2.729849999999999,38.09702108046633,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
4,284022,14.2011,1.1585412121300849,4.101693784586992,13.5698,14.72835,1.6075499999999998,2.76605,0.3775223210072296,2.6488499999999995,36.43297525464045,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
5,336999,16.84995,1.0980106892492127,4.253133210284496,16.33585,17.4339,1.4853500000000004,2.5833499999999994,0.370857979936583,2.6964500000000022,37.9567859419046,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
6,390928,19.546400000000002,1.1909685988933285,4.083746936939598,18.91925,20.110200000000003,1.5960999999999999,2.7871000000000024,0.37658400647724516,2.6554499999999983,35.99787575857046,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
7,444037,22.20185,1.071162933765829,4.161911687927287,21.70635,22.7775,1.513099999999998,2.5842499999999973,0.3820512330703545,2.6174500000000016,38.03301019947873,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
8,496386,24.819300000000002,1.0909061132192757,4.127481255336164,24.29055,25.38145,1.50995,2.600850000000001,0.38583224014198636,2.591799999999999,37.622886061394354,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
9,548222,27.4111,1.1092488691470703,4.036270803819178,26.8914,28.00065,1.5315000000000012,2.6407500000000006,0.3747072599531617,2.6687499999999993,36.65352909758347,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
10,601597,30.07985,1.118029601586447,4.0807426952632895,29.532200000000003,30.6502,1.5181999999999967,2.636249999999997,0.3753190211679927,2.6644000000000005,36.49489085537225,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Transient,1,-0.1
11,654885,32.74425,1.1424259818133258,4.146763167096019,32.16845,33.31085,1.5334999999999965,2.6759500000000003,0.37691046491905794,2.6531500000000037,36.74593695417853,seed1-gleak-01_damgo_to_high_gl_vars.pkl,Control,1,-0.1
