,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{Leak}$ str
0,64002,3.2001,1.3765593860052039,3.57436731512864,2.6815,4.0581000000000005,1.4643999999999995,2.84095,0.3221649484536082,3.1040000000000005,23.093661277521903,seed1-gleak05_vars.pkl,Transient,1,0.5
1,126082,6.3041,1.3753489876494212,3.474560966152076,5.52245,6.8978,1.4726,2.84795,0.39411196720988434,2.53735,30.676558871595248,seed1-gleak05_vars.pkl,Transient,1,0.5
2,176829,8.84145,1.109769260540545,4.054808602668459,8.3704,9.4802,1.5073500000000006,2.6171000000000006,0.3776078542433681,2.648250000000001,36.628213891692596,seed1-gleak05_vars.pkl,Transient,1,0.5
3,229794,11.489700000000001,1.1406426203673634,4.107916882187894,10.98755,12.128200000000001,1.4572500000000002,2.597899999999999,0.38202204267186224,2.6176499999999994,36.592110194235524,seed1-gleak05_vars.pkl,Transient,1,0.5
4,282147,14.10735,1.1217649827477727,4.079508376743483,13.58545,14.7072,1.568999999999999,2.6907999999999994,0.3783794010254083,2.6428499999999993,36.07067414494895,seed1-gleak05_vars.pkl,Transient,1,0.5
5,335004,16.7502,1.1064335205475626,4.039817331573225,16.2762,17.38265,1.4202000000000012,2.526600000000002,0.39440730442327776,2.535450000000001,37.779823841846095,seed1-gleak05_vars.pkl,Transient,1,0.5
6,385713,19.28565,1.0772705130367395,4.107409558749197,18.8028,19.880100000000002,1.495899999999999,2.5731499999999983,0.38546786161703733,2.5942500000000024,36.95086692670483,seed1-gleak05_vars.pkl,Transient,1,0.5
7,437598,21.879900000000003,1.1095207763106039,4.173750066207468,21.376,22.485500000000002,1.4481000000000002,2.5576500000000024,0.3935845714847979,2.540749999999999,36.93328197562259,seed1-gleak05_vars.pkl,Transient,1,0.5
8,488413,24.420650000000002,1.124271743254774,4.13887824871685,23.93365,25.0579,1.4971500000000013,2.6214499999999994,0.37481961805880953,2.6679499999999976,37.28489373275414,seed1-gleak05_vars.pkl,Transient,1,0.5
9,541772,27.0886,1.1065885172379901,4.10016352168995,26.55505,27.66165,1.5033999999999992,2.6099999999999994,0.38974199080208854,2.565800000000003,36.82067662923346,seed1-gleak05_vars.pkl,Transient,1,0.5
10,593088,29.654400000000003,1.1143266004994454,4.037571349317794,29.165100000000002,30.279400000000003,1.5353999999999992,2.649750000000001,0.37915410718686593,2.637450000000001,36.36406613483421,seed1-gleak05_vars.pkl,Transient,1,0.5
11,645837,32.291850000000004,1.1131938354689979,4.114384175640183,31.8148,32.928000000000004,1.401999999999994,2.5151999999999965,0.3906097418069609,2.5600999999999985,37.14672949697381,seed1-gleak05_vars.pkl,Control,1,0.5
12,697039,34.85195,1.162719300013903,4.035786571713906,34.33005,35.49275,1.4431000000000012,2.6058500000000038,0.38986354775828497,2.5649999999999977,36.58302145896264,seed1-gleak05_vars.pkl,Control,1,0.5
13,748339,37.41695,1.1265661160621618,4.024653900172105,36.93585,38.06245,1.4819499999999977,2.6084999999999994,0.3798814769791819,2.632400000000004,36.181961674317904,seed1-gleak05_vars.pkl,Control,1,0.5
14,800987,40.049350000000004,1.0813650773107133,4.107052645884664,39.5444,40.625750000000004,1.5492500000000007,2.630600000000001,0.3876194352384828,2.5798500000000004,36.743683387440385,seed1-gleak05_vars.pkl,Control,1,0.5
15,852584,42.629200000000004,1.118216034914757,4.10207698863249,42.17495,43.293150000000004,1.4119499999999974,2.530149999999999,0.3882816595158133,2.5754499999999965,37.398040478638215,seed1-gleak05_vars.pkl,Control,1,0.5
16,904093,45.20465,1.0878330827947007,4.029975650510345,44.70515,45.792950000000005,1.5566499999999976,2.6445000000000007,0.38408357658626513,2.6036,36.78727602402195,seed1-gleak05_vars.pkl,Control,1,0.5
17,956165,47.80825,1.1153911692311755,4.082960881385475,47.3496,48.465,1.4547999999999988,2.570149999999998,0.3838845275341174,2.6049500000000023,37.47687814431356,seed1-gleak05_vars.pkl,Control,1,0.5
18,1008264,50.4132,1.1053898073144375,4.067600651258097,49.91975,51.025150000000004,1.4553499999999957,2.5607499999999987,0.3841130828916032,2.6034000000000006,36.643595918960486,seed1-gleak05_vars.pkl,Control,1,0.5
19,1060332,53.016600000000004,1.1377325621624943,4.1107226031798945,52.4805,53.61825,1.4133500000000012,2.5510500000000036,0.3984857541342904,2.5094999999999956,36.55557528083743,seed1-gleak05_vars.pkl,Control,1,0.5
20,1110522,55.5261,1.111479303788487,4.080829944548704,55.03155,56.14305,1.4695000000000036,2.5809500000000014,0.3806478626622503,2.6271000000000058,37.1757017996257,seed1-gleak05_vars.pkl,Control,1,0.5
21,1163064,58.153200000000005,1.1256170299041783,4.093831661668787,57.612550000000006,58.738150000000005,4.435600000000001,5.5611999999999995,0.14243695384330518,7.020649999999996,36.27701035601212,seed1-gleak05_vars.pkl,Control,1,0.5
22,1303477,65.17385,2.3846930541450506,2.6285866085976135,63.173750000000005,65.55845000000001,2.2807499999999976,4.66545,0.31918289179700016,3.132999999999995,17.680937202825305,seed1-gleak05_vars.pkl,Transient,1,0.5
23,1366137,68.30685,1.0175229502097238,3.7223634951839024,67.8392,68.8567,1.698449999999994,2.715999999999994,0.3423074948225987,2.921350000000004,33.59737621646362,seed1-gleak05_vars.pkl,Transient,1,0.5
24,1424564,71.2282,1.14679577656443,3.4077251488191536,70.5552,71.702,1.5691500000000076,2.7159500000000065,0.33755274261603313,2.9625000000000057,28.85739030085088,seed1-gleak05_vars.pkl,DAMGO,1,0.5
25,1483814,74.1907,1.30986819067389,2.6357395321617147,73.2711,74.58095,1.810299999999998,3.1201499999999953,0.37308560449195205,2.68034999999999,22.59657920469587,seed1-gleak05_vars.pkl,DAMGO,1,0.5
26,1537421,76.87105,1.0521589750780957,3.580209275218998,76.3913,77.44345,1.632550000000009,2.684750000000008,0.34920468632688967,2.863650000000007,32.21608162709036,seed1-gleak05_vars.pkl,DAMGO,1,0.5
27,1594694,79.7347,1.1817203935625964,3.2912324603939602,79.07605000000001,80.25775,1.7318500000000085,2.9136000000000024,0.3476991011978226,2.8760500000000064,28.138213433913208,seed1-gleak05_vars.pkl,DAMGO,1,0.5
28,1652215,82.61075000000001,1.108954137354577,3.0389418272081237,81.98960000000001,83.09855,1.7335999999999956,2.8425499999999886,0.35967988490243746,2.7802499999999952,26.24317514980716,seed1-gleak05_vars.pkl,DAMGO,1,0.5
29,1707820,85.391,1.148849916425324,3.3222257238307336,84.83215,85.98100000000001,1.3874999999999886,2.5363499999999988,0.3293482198728719,3.036299999999997,30.357651652596022,seed1-gleak05_vars.pkl,DAMGO,1,0.5
