,# ctrl tonic,# ctrl bursting,# ctrl quiescent,# damgo tonic,# damgo bursting,# damgo quiescent,# damgo + gLeak x 0.9 tonic,# damgo + gLeak x 0.9 bursting,# damgo + gLeak x 0.9 quiescent,# damgo + gLeak x 0.7 tonic,# damgo + gLeak x 0.7 bursting,# damgo + gLeak x 0.7 quiescent,# damgo + gLeak x 0.5 tonic,# damgo + gLeak x 0.5 bursting,# damgo + gLeak x 0.5 quiescent
1,119,15,166,59,10,231,64,31,205,66,115,119,176,8,116
2,118,25,157,61,19,220,66,35,199,74,106,120,177,5,118
3,118,21,161,58,18,224,71,27,202,71,109,120,175,9,116
4,113,24,163,66,16,218,72,40,188,80,100,120,177,3,120
5,122,21,157,67,12,221,72,25,203,73,106,121,176,8,116
6,119,15,166,61,9,230,67,23,210,69,109,122,174,9,117
7,118,24,158,66,16,218,75,28,197,77,103,120,177,4,119
8,113,28,159,61,26,213,71,44,185,78,103,119,176,6,118
9,117,17,166,68,9,223,75,25,200,75,105,120,180,5,115
10,120,19,161,59,15,226,68,31,201,73,107,120,180,2,118
11,121,16,163,68,7,225,74,19,207,75,106,119,179,2,119
12,126,20,154,68,13,219,74,41,185,76,104,120,179,2,119
13,143,9,148,69,8,223,75,23,202,75,105,120,178,3,119
14,128,17,155,62,15,223,68,36,196,73,108,119,179,3,118
15,121,23,156,70,15,215,78,32,190,80,101,119,177,6,117
16,118,18,164,58,15,227,68,22,210,70,111,119,177,3,120
17,107,17,176,56,13,231,65,29,206,67,114,119,178,6,116
18,111,14,175,60,8,232,63,35,202,65,116,119,177,3,120
19,130,21,149,64,17,219,74,24,202,77,104,119,178,4,118
20,96,25,179,50,12,238,57,37,206,60,120,120,180,2,118
21,115,18,167,55,16,229,66,31,203,67,112,121,175,9,116
22,108,25,167,51,21,228,58,47,195,66,114,120,178,4,118
23,120,22,158,61,16,223,68,25,207,72,108,120,177,4,119
24,115,19,166,59,13,228,66,30,204,69,111,120,176,5,119
25,117,26,157,57,22,221,66,30,204,74,106,120,176,6,118
26,122,13,165,66,9,225,68,28,204,70,110,120,176,5,119
27,104,20,176,52,17,231,60,33,207,66,115,119,177,6,117
28,110,26,164,54,19,227,62,32,206,67,113,120,176,7,117
29,115,25,160,62,20,218,67,36,197,70,110,120,179,3,118
30,129,18,153,69,17,214,75,33,192,77,103,120,175,5,120
31,128,26,146,64,15,221,72,34,194,77,102,121,176,7,117
32,116,15,169,57,8,235,61,31,208,62,118,120,174,8,118
33,115,23,162,63,15,222,69,29,202,74,106,120,176,8,116
34,115,16,169,54,15,231,61,25,214,63,116,121,175,5,120
35,102,21,177,53,13,234,59,27,214,61,120,119,177,4,119
36,122,20,158,65,18,217,70,42,188,76,104,120,180,3,117
37,122,21,157,67,17,216,79,24,197,81,100,119,178,6,116
38,111,25,164,56,25,219,68,30,202,72,109,119,174,8,118
39,105,19,176,51,14,235,57,35,208,59,121,120,177,4,119
40,118,26,156,58,23,219,70,35,195,75,107,118,179,1,120
