run_seed,Condition,Amplitude Irregularity,Condition
1,Control,0.0077131879465120404,Control
1,DAMGO,0.2663196078003167,DAMGO
1,DAMGO + $G_{NaP} \times 1.1$,0.2643945302294723,DAMGO + $G_{NaP} \times 1.1$
1,DAMGO + $G_{NaP} \times 1.3$,0.044754761215064394,DAMGO + $G_{NaP} \times 1.3$
1,DAMGO + $G_{NaP} \times 1.5$,0.08444394804940358,DAMGO + $G_{NaP} \times 1.5$
2,Control,0.16663200198228856,Control
2,DAMGO,0.2063355200707959,DAMGO
2,DAMGO + $G_{NaP} \times 1.1$,0.07222819802435021,DAMGO + $G_{NaP} \times 1.1$
2,DAMGO + $G_{NaP} \times 1.3$,0.08919221350764464,DAMGO + $G_{NaP} \times 1.3$
2,DAMGO + $G_{NaP} \times 1.5$,0.12790061176823084,DAMGO + $G_{NaP} \times 1.5$
3,Control,0.019771168944052123,Control
3,DAMGO,0.08556081862510496,DAMGO
3,DAMGO + $G_{NaP} \times 1.1$,0.07184724470923125,DAMGO + $G_{NaP} \times 1.1$
3,DAMGO + $G_{NaP} \times 1.3$,0.036058864527706784,DAMGO + $G_{NaP} \times 1.3$
3,DAMGO + $G_{NaP} \times 1.5$,0.07218485945330301,DAMGO + $G_{NaP} \times 1.5$
4,Control,0.01694538163931511,Control
4,DAMGO,0.708870282447721,DAMGO
4,DAMGO + $G_{NaP} \times 1.1$,0.30950884165033066,DAMGO + $G_{NaP} \times 1.1$
4,DAMGO + $G_{NaP} \times 1.3$,0.1283510509826527,DAMGO + $G_{NaP} \times 1.3$
4,DAMGO + $G_{NaP} \times 1.5$,0.07035097204589927,DAMGO + $G_{NaP} \times 1.5$
5,Control,0.03582571035344745,Control
5,DAMGO,0.3628653740456999,DAMGO
5,DAMGO + $G_{NaP} \times 1.1$,0.10724796079521344,DAMGO + $G_{NaP} \times 1.1$
5,DAMGO + $G_{NaP} \times 1.3$,0.04327042869496819,DAMGO + $G_{NaP} \times 1.3$
5,DAMGO + $G_{NaP} \times 1.5$,0.04119121741033515,DAMGO + $G_{NaP} \times 1.5$
6,Control,0.02709039777367635,Control
6,DAMGO,0.26052490203851436,DAMGO
6,DAMGO + $G_{NaP} \times 1.1$,0.05334359830133047,DAMGO + $G_{NaP} \times 1.1$
6,DAMGO + $G_{NaP} \times 1.3$,0.044027473967860865,DAMGO + $G_{NaP} \times 1.3$
6,DAMGO + $G_{NaP} \times 1.5$,0.09126884859404563,DAMGO + $G_{NaP} \times 1.5$
7,Control,0.04965135508043131,Control
7,DAMGO,0.1342856208050217,DAMGO
7,DAMGO + $G_{NaP} \times 1.1$,0.10266169397796508,DAMGO + $G_{NaP} \times 1.1$
7,DAMGO + $G_{NaP} \times 1.3$,0.1518597143566818,DAMGO + $G_{NaP} \times 1.3$
7,DAMGO + $G_{NaP} \times 1.5$,0.0921438904189113,DAMGO + $G_{NaP} \times 1.5$
8,Control,0.2511476018996372,Control
8,DAMGO,0.3861241726840794,DAMGO
8,DAMGO + $G_{NaP} \times 1.1$,0.07678478183526986,DAMGO + $G_{NaP} \times 1.1$
8,DAMGO + $G_{NaP} \times 1.3$,0.11217798201699376,DAMGO + $G_{NaP} \times 1.3$
8,DAMGO + $G_{NaP} \times 1.5$,0.13898954261549332,DAMGO + $G_{NaP} \times 1.5$
9,Control,0.044604018393300936,Control
9,DAMGO,0.22239946013462286,DAMGO
9,DAMGO + $G_{NaP} \times 1.1$,0.10416421762360573,DAMGO + $G_{NaP} \times 1.1$
9,DAMGO + $G_{NaP} \times 1.3$,0.06498935288294583,DAMGO + $G_{NaP} \times 1.3$
9,DAMGO + $G_{NaP} \times 1.5$,0.16075430862721204,DAMGO + $G_{NaP} \times 1.5$
10,Control,0.12507475656148287,Control
10,DAMGO,0.22248057691963596,DAMGO
10,DAMGO + $G_{NaP} \times 1.1$,0.09071203347377874,DAMGO + $G_{NaP} \times 1.1$
10,DAMGO + $G_{NaP} \times 1.3$,0.2337896097554545,DAMGO + $G_{NaP} \times 1.3$
10,DAMGO + $G_{NaP} \times 1.5$,0.12792174888109473,DAMGO + $G_{NaP} \times 1.5$
11,Control,0.019725106253151492,Control
11,DAMGO,0.33135388635404883,DAMGO
11,DAMGO + $G_{NaP} \times 1.1$,0.11003121451876016,DAMGO + $G_{NaP} \times 1.1$
11,DAMGO + $G_{NaP} \times 1.3$,0.087867931154245,DAMGO + $G_{NaP} \times 1.3$
11,DAMGO + $G_{NaP} \times 1.5$,0.07941026331695769,DAMGO + $G_{NaP} \times 1.5$
12,Control,0.023813081438565267,Control
12,DAMGO,0.31549540457145436,DAMGO
12,DAMGO + $G_{NaP} \times 1.1$,0.4114528166776668,DAMGO + $G_{NaP} \times 1.1$
12,DAMGO + $G_{NaP} \times 1.3$,0.1055886024281405,DAMGO + $G_{NaP} \times 1.3$
12,DAMGO + $G_{NaP} \times 1.5$,0.059800103236997006,DAMGO + $G_{NaP} \times 1.5$
13,Control,0.013311804812270164,Control
13,DAMGO,0.09705936433662445,DAMGO
13,DAMGO + $G_{NaP} \times 1.1$,0.030193772747683322,DAMGO + $G_{NaP} \times 1.1$
13,DAMGO + $G_{NaP} \times 1.3$,0.04649997805921268,DAMGO + $G_{NaP} \times 1.3$
13,DAMGO + $G_{NaP} \times 1.5$,0.06606211536463534,DAMGO + $G_{NaP} \times 1.5$
14,Control,0.05305630354119054,Control
14,DAMGO,0.22228002562199925,DAMGO
14,DAMGO + $G_{NaP} \times 1.1$,0.13517060971399703,DAMGO + $G_{NaP} \times 1.1$
14,DAMGO + $G_{NaP} \times 1.3$,0.19716619116445963,DAMGO + $G_{NaP} \times 1.3$
14,DAMGO + $G_{NaP} \times 1.5$,0.12498417034607555,DAMGO + $G_{NaP} \times 1.5$
15,Control,0.19649693321845363,Control
15,DAMGO,0.25575156624269413,DAMGO
15,DAMGO + $G_{NaP} \times 1.1$,0.13347568800775306,DAMGO + $G_{NaP} \times 1.1$
15,DAMGO + $G_{NaP} \times 1.3$,0.1767208002860432,DAMGO + $G_{NaP} \times 1.3$
15,DAMGO + $G_{NaP} \times 1.5$,0.1020137431483682,DAMGO + $G_{NaP} \times 1.5$
16,Control,0.28683085962909266,Control
16,DAMGO,0.18945746166866645,DAMGO
16,DAMGO + $G_{NaP} \times 1.1$,0.2063665294612958,DAMGO + $G_{NaP} \times 1.1$
16,DAMGO + $G_{NaP} \times 1.3$,0.11562577438332113,DAMGO + $G_{NaP} \times 1.3$
16,DAMGO + $G_{NaP} \times 1.5$,0.09550722448341516,DAMGO + $G_{NaP} \times 1.5$
17,Control,0.3138542392692879,Control
17,DAMGO,0.3043585383595686,DAMGO
17,DAMGO + $G_{NaP} \times 1.1$,0.23601402256884557,DAMGO + $G_{NaP} \times 1.1$
17,DAMGO + $G_{NaP} \times 1.3$,0.10632182726830881,DAMGO + $G_{NaP} \times 1.3$
17,DAMGO + $G_{NaP} \times 1.5$,0.13405460212796286,DAMGO + $G_{NaP} \times 1.5$
18,Control,0.012757085194024473,Control
18,DAMGO,0.3826409799929486,DAMGO
18,DAMGO + $G_{NaP} \times 1.1$,0.21143664529659778,DAMGO + $G_{NaP} \times 1.1$
18,DAMGO + $G_{NaP} \times 1.3$,0.08086319029055544,DAMGO + $G_{NaP} \times 1.3$
18,DAMGO + $G_{NaP} \times 1.5$,0.07125846106891574,DAMGO + $G_{NaP} \times 1.5$
19,Control,0.07928605468631296,Control
19,DAMGO,0.2952293943364431,DAMGO
19,DAMGO + $G_{NaP} \times 1.1$,0.24379688151089562,DAMGO + $G_{NaP} \times 1.1$
19,DAMGO + $G_{NaP} \times 1.3$,0.12781568968183843,DAMGO + $G_{NaP} \times 1.3$
19,DAMGO + $G_{NaP} \times 1.5$,0.08518177124770444,DAMGO + $G_{NaP} \times 1.5$
20,Control,0.1032330011038277,Control
20,DAMGO,0.32890966119211673,DAMGO
20,DAMGO + $G_{NaP} \times 1.1$,0.06300906113140513,DAMGO + $G_{NaP} \times 1.1$
20,DAMGO + $G_{NaP} \times 1.3$,0.12176337759391687,DAMGO + $G_{NaP} \times 1.3$
20,DAMGO + $G_{NaP} \times 1.5$,0.12725664916683413,DAMGO + $G_{NaP} \times 1.5$
21,Control,0.026629293204772992,Control
21,DAMGO,0.39693545809730796,DAMGO
21,DAMGO + $G_{NaP} \times 1.1$,0.11501409101090931,DAMGO + $G_{NaP} \times 1.1$
21,DAMGO + $G_{NaP} \times 1.3$,0.18150068228714472,DAMGO + $G_{NaP} \times 1.3$
21,DAMGO + $G_{NaP} \times 1.5$,0.07265994420986834,DAMGO + $G_{NaP} \times 1.5$
22,Control,0.16318508493757777,Control
22,DAMGO,0.16759552236708647,DAMGO
22,DAMGO + $G_{NaP} \times 1.1$,0.07667713050734207,DAMGO + $G_{NaP} \times 1.1$
22,DAMGO + $G_{NaP} \times 1.3$,0.06217493488569376,DAMGO + $G_{NaP} \times 1.3$
22,DAMGO + $G_{NaP} \times 1.5$,0.07273683461170642,DAMGO + $G_{NaP} \times 1.5$
23,Control,0.03802241160862578,Control
23,DAMGO,0.33857023580375406,DAMGO
23,DAMGO + $G_{NaP} \times 1.1$,0.08794980410192507,DAMGO + $G_{NaP} \times 1.1$
23,DAMGO + $G_{NaP} \times 1.3$,0.143552404862845,DAMGO + $G_{NaP} \times 1.3$
23,DAMGO + $G_{NaP} \times 1.5$,0.12641337657193633,DAMGO + $G_{NaP} \times 1.5$
24,Control,0.03439253951860175,Control
24,DAMGO,0.43559825144952646,DAMGO
24,DAMGO + $G_{NaP} \times 1.1$,0.08647364270020338,DAMGO + $G_{NaP} \times 1.1$
24,DAMGO + $G_{NaP} \times 1.3$,0.12788420352622587,DAMGO + $G_{NaP} \times 1.3$
24,DAMGO + $G_{NaP} \times 1.5$,0.13984739936236223,DAMGO + $G_{NaP} \times 1.5$
25,Control,0.03568229270971391,Control
25,DAMGO,0.3193524204810172,DAMGO
25,DAMGO + $G_{NaP} \times 1.1$,0.06964783586569442,DAMGO + $G_{NaP} \times 1.1$
25,DAMGO + $G_{NaP} \times 1.3$,0.0996715457344676,DAMGO + $G_{NaP} \times 1.3$
25,DAMGO + $G_{NaP} \times 1.5$,0.08233080597206491,DAMGO + $G_{NaP} \times 1.5$
26,Control,0.056805288149210834,Control
26,DAMGO,0.36796649565770845,DAMGO
26,DAMGO + $G_{NaP} \times 1.1$,0.09531024602803846,DAMGO + $G_{NaP} \times 1.1$
26,DAMGO + $G_{NaP} \times 1.3$,0.07432883981878603,DAMGO + $G_{NaP} \times 1.3$
26,DAMGO + $G_{NaP} \times 1.5$,0.13405217195789393,DAMGO + $G_{NaP} \times 1.5$
27,Control,0.03510143927133595,Control
27,DAMGO,0.16260881154082996,DAMGO
27,DAMGO + $G_{NaP} \times 1.1$,0.17901405570837323,DAMGO + $G_{NaP} \times 1.1$
27,DAMGO + $G_{NaP} \times 1.3$,0.1943474964941309,DAMGO + $G_{NaP} \times 1.3$
27,DAMGO + $G_{NaP} \times 1.5$,0.13602631554447964,DAMGO + $G_{NaP} \times 1.5$
28,Control,0.03392452712847597,Control
28,DAMGO,0.4329461848013626,DAMGO
28,DAMGO + $G_{NaP} \times 1.1$,0.24128606647704368,DAMGO + $G_{NaP} \times 1.1$
28,DAMGO + $G_{NaP} \times 1.3$,0.05946840476373099,DAMGO + $G_{NaP} \times 1.3$
28,DAMGO + $G_{NaP} \times 1.5$,0.05427128729848185,DAMGO + $G_{NaP} \times 1.5$
29,Control,0.031280054136018316,Control
29,DAMGO,0.5241356563349949,DAMGO
29,DAMGO + $G_{NaP} \times 1.1$,0.3143079317002698,DAMGO + $G_{NaP} \times 1.1$
29,DAMGO + $G_{NaP} \times 1.3$,0.11045627868338244,DAMGO + $G_{NaP} \times 1.3$
29,DAMGO + $G_{NaP} \times 1.5$,0.07442042125746912,DAMGO + $G_{NaP} \times 1.5$
30,Control,0.020703539878518366,Control
30,DAMGO,0.26357383984460586,DAMGO
30,DAMGO + $G_{NaP} \times 1.1$,0.05339539222324529,DAMGO + $G_{NaP} \times 1.1$
30,DAMGO + $G_{NaP} \times 1.3$,0.0658530384915817,DAMGO + $G_{NaP} \times 1.3$
30,DAMGO + $G_{NaP} \times 1.5$,0.08881703489025457,DAMGO + $G_{NaP} \times 1.5$
31,Control,0.02961395784476052,Control
31,DAMGO,0.2704280787922278,DAMGO
31,DAMGO + $G_{NaP} \times 1.1$,0.194619028277879,DAMGO + $G_{NaP} \times 1.1$
31,DAMGO + $G_{NaP} \times 1.3$,0.07294214778871906,DAMGO + $G_{NaP} \times 1.3$
31,DAMGO + $G_{NaP} \times 1.5$,0.10726433984185947,DAMGO + $G_{NaP} \times 1.5$
32,Control,0.026124147269717374,Control
32,DAMGO,0.13078831485134235,DAMGO
32,DAMGO + $G_{NaP} \times 1.1$,0.03837087421632281,DAMGO + $G_{NaP} \times 1.1$
32,DAMGO + $G_{NaP} \times 1.3$,0.048084967790107784,DAMGO + $G_{NaP} \times 1.3$
32,DAMGO + $G_{NaP} \times 1.5$,0.051996245698752934,DAMGO + $G_{NaP} \times 1.5$
33,Control,0.18056955100772298,Control
33,DAMGO,0.29450963575063127,DAMGO
33,DAMGO + $G_{NaP} \times 1.1$,0.21034142422748428,DAMGO + $G_{NaP} \times 1.1$
33,DAMGO + $G_{NaP} \times 1.3$,0.3297611958961922,DAMGO + $G_{NaP} \times 1.3$
33,DAMGO + $G_{NaP} \times 1.5$,0.36497084824823417,DAMGO + $G_{NaP} \times 1.5$
34,Control,0.07975756881519967,Control
34,DAMGO,0.27298313961200904,DAMGO
