run_seed,Condition,Burst Amp,Condition
1,Control,3.9221822354660474,Control
1,DAMGO,2.8313055914615872,DAMGO
1,DAMGO + $G_{NaP} \times 1.1$,2.687747421994154,DAMGO + $G_{NaP} \times 1.1$
1,DAMGO + $G_{NaP} \times 1.3$,3.67952319991714,DAMGO + $G_{NaP} \times 1.3$
1,DAMGO + $G_{NaP} \times 1.5$,4.454387834687112,DAMGO + $G_{NaP} \times 1.5$
2,Control,2.9672582419127527,Control
2,DAMGO,2.8812389286518982,DAMGO
2,DAMGO + $G_{NaP} \times 1.1$,3.0239000992501377,DAMGO + $G_{NaP} \times 1.1$
2,DAMGO + $G_{NaP} \times 1.3$,4.111083042072527,DAMGO + $G_{NaP} \times 1.3$
2,DAMGO + $G_{NaP} \times 1.5$,4.837565445445003,DAMGO + $G_{NaP} \times 1.5$
3,Control,4.1577678937208,Control
3,DAMGO,2.799106387945836,DAMGO
3,DAMGO + $G_{NaP} \times 1.1$,2.8624680363561517,DAMGO + $G_{NaP} \times 1.1$
3,DAMGO + $G_{NaP} \times 1.3$,3.9349088194455786,DAMGO + $G_{NaP} \times 1.3$
3,DAMGO + $G_{NaP} \times 1.5$,4.878794188057112,DAMGO + $G_{NaP} \times 1.5$
4,Control,3.845366216464921,Control
4,DAMGO,2.4607545081197633,DAMGO
4,DAMGO + $G_{NaP} \times 1.1$,2.20035246688501,DAMGO + $G_{NaP} \times 1.1$
4,DAMGO + $G_{NaP} \times 1.3$,3.2286743986297433,DAMGO + $G_{NaP} \times 1.3$
4,DAMGO + $G_{NaP} \times 1.5$,4.121389322102129,DAMGO + $G_{NaP} \times 1.5$
5,Control,3.361981594807967,Control
5,DAMGO,2.406120971040473,DAMGO
5,DAMGO + $G_{NaP} \times 1.1$,2.4970467921461257,DAMGO + $G_{NaP} \times 1.1$
5,DAMGO + $G_{NaP} \times 1.3$,3.371716013804601,DAMGO + $G_{NaP} \times 1.3$
5,DAMGO + $G_{NaP} \times 1.5$,4.548370629976985,DAMGO + $G_{NaP} \times 1.5$
6,Control,3.946289664168482,Control
6,DAMGO,2.8661799328071798,DAMGO
6,DAMGO + $G_{NaP} \times 1.1$,2.4495089938816346,DAMGO + $G_{NaP} \times 1.1$
6,DAMGO + $G_{NaP} \times 1.3$,3.4376659592925303,DAMGO + $G_{NaP} \times 1.3$
6,DAMGO + $G_{NaP} \times 1.5$,4.3769332027346035,DAMGO + $G_{NaP} \times 1.5$
7,Control,3.043279043911857,Control
7,DAMGO,2.1598763683507327,DAMGO
7,DAMGO + $G_{NaP} \times 1.1$,2.4862382247139667,DAMGO + $G_{NaP} \times 1.1$
7,DAMGO + $G_{NaP} \times 1.3$,3.679338451597346,DAMGO + $G_{NaP} \times 1.3$
7,DAMGO + $G_{NaP} \times 1.5$,4.331762850606517,DAMGO + $G_{NaP} \times 1.5$
8,Control,2.964441101873768,Control
8,DAMGO,2.559631659876755,DAMGO
8,DAMGO + $G_{NaP} \times 1.1$,2.541733108668261,DAMGO + $G_{NaP} \times 1.1$
8,DAMGO + $G_{NaP} \times 1.3$,3.7234660499521137,DAMGO + $G_{NaP} \times 1.3$
8,DAMGO + $G_{NaP} \times 1.5$,5.294560439115439,DAMGO + $G_{NaP} \times 1.5$
9,Control,3.6980624036936525,Control
9,DAMGO,2.5036103158917857,DAMGO
9,DAMGO + $G_{NaP} \times 1.1$,2.6204216963426665,DAMGO + $G_{NaP} \times 1.1$
9,DAMGO + $G_{NaP} \times 1.3$,3.6471266925653856,DAMGO + $G_{NaP} \times 1.3$
9,DAMGO + $G_{NaP} \times 1.5$,4.582624270735127,DAMGO + $G_{NaP} \times 1.5$
10,Control,2.713556001937815,Control
10,DAMGO,2.1968209769322145,DAMGO
10,DAMGO + $G_{NaP} \times 1.1$,2.38354890449832,DAMGO + $G_{NaP} \times 1.1$
10,DAMGO + $G_{NaP} \times 1.3$,4.039831104026261,DAMGO + $G_{NaP} \times 1.3$
10,DAMGO + $G_{NaP} \times 1.5$,4.938333308196921,DAMGO + $G_{NaP} \times 1.5$
11,Control,3.403972433322419,Control
11,DAMGO,2.381431969104343,DAMGO
11,DAMGO + $G_{NaP} \times 1.1$,2.0522850278460507,DAMGO + $G_{NaP} \times 1.1$
11,DAMGO + $G_{NaP} \times 1.3$,3.1832798561916573,DAMGO + $G_{NaP} \times 1.3$
11,DAMGO + $G_{NaP} \times 1.5$,4.147177093365671,DAMGO + $G_{NaP} \times 1.5$
12,Control,4.4348631072880815,Control
12,DAMGO,3.1377984186391505,DAMGO
12,DAMGO + $G_{NaP} \times 1.1$,2.79020909722665,DAMGO + $G_{NaP} \times 1.1$
12,DAMGO + $G_{NaP} \times 1.3$,4.015410440445352,DAMGO + $G_{NaP} \times 1.3$
12,DAMGO + $G_{NaP} \times 1.5$,5.144216476774132,DAMGO + $G_{NaP} \times 1.5$
13,Control,4.256354936082442,Control
13,DAMGO,3.3930189653616223,DAMGO
13,DAMGO + $G_{NaP} \times 1.1$,3.364127007006451,DAMGO + $G_{NaP} \times 1.1$
13,DAMGO + $G_{NaP} \times 1.3$,4.15294179872709,DAMGO + $G_{NaP} \times 1.3$
13,DAMGO + $G_{NaP} \times 1.5$,5.260395366847671,DAMGO + $G_{NaP} \times 1.5$
14,Control,3.8524413390369667,Control
14,DAMGO,2.4805304955823844,DAMGO
14,DAMGO + $G_{NaP} \times 1.1$,2.4198393637036704,DAMGO + $G_{NaP} \times 1.1$
14,DAMGO + $G_{NaP} \times 1.3$,4.057226359264222,DAMGO + $G_{NaP} \times 1.3$
14,DAMGO + $G_{NaP} \times 1.5$,4.614189112171535,DAMGO + $G_{NaP} \times 1.5$
15,Control,2.975603547434798,Control
15,DAMGO,2.114946509939264,DAMGO
15,DAMGO + $G_{NaP} \times 1.1$,2.486222227928396,DAMGO + $G_{NaP} \times 1.1$
15,DAMGO + $G_{NaP} \times 1.3$,3.6699417521567184,DAMGO + $G_{NaP} \times 1.3$
15,DAMGO + $G_{NaP} \times 1.5$,5.023812396918292,DAMGO + $G_{NaP} \times 1.5$
16,Control,2.83604621988626,Control
16,DAMGO,2.4577511565480727,DAMGO
16,DAMGO + $G_{NaP} \times 1.1$,2.456711265815526,DAMGO + $G_{NaP} \times 1.1$
16,DAMGO + $G_{NaP} \times 1.3$,3.767284049867552,DAMGO + $G_{NaP} \times 1.3$
16,DAMGO + $G_{NaP} \times 1.5$,5.239811412798441,DAMGO + $G_{NaP} \times 1.5$
