run_seed,Condition,Condition,Frequency
1,Control,Control,0.362012416272126
1,DAMGO,DAMGO,0.32803307856009645
1,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3217211355504824
1,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.39120762713968205
1,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.39806417188662424
2,Control,Control,0.33318748201504217
2,DAMGO,DAMGO,0.29534144510495336
2,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.25923580488043024
2,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.32897341015818177
2,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.335160923528848
3,Control,Control,0.36064279161657437
3,DAMGO,DAMGO,0.34471741861638444
3,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.343504816832965
3,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3890251667249679
3,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4335919386198582
4,Control,Control,0.3567178515511838
4,DAMGO,DAMGO,0.29571710276230817
4,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3247619930089987
4,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3655603644610205
4,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4241188762999766
5,Control,Control,0.3975125002980169
5,DAMGO,DAMGO,0.35121084674732406
5,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3424161381392099
5,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.36193941568108073
5,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.3831291039515758
6,Control,Control,0.3637061799233686
6,DAMGO,DAMGO,0.3105417733646856
6,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3363534695261385
6,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3782658791243646
6,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.40183625096905307
7,Control,Control,0.4002813380359662
7,DAMGO,DAMGO,0.3265623787928139
7,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3656353009773589
7,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.4034454766595374
7,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4056526393693555
8,Control,Control,0.500242230059931
8,DAMGO,DAMGO,0.2994505747086742
8,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.30473444862404353
8,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3951724673247154
8,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.44188128623289336
9,Control,Control,0.40075875359500773
9,DAMGO,DAMGO,0.3669512986178282
9,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.4069151173846134
9,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.504180463345748
9,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4920538638566344
10,Control,Control,0.3444616619569229
10,DAMGO,DAMGO,0.25616774705340156
10,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3639023421695767
10,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3986840774706584
10,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.39973327922512264
11,Control,Control,0.3788766237811875
11,DAMGO,DAMGO,0.4119631405425531
11,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3690849119922219
11,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.4320756958684122
11,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4121323113428359
12,Control,Control,0.35386048549797056
12,DAMGO,DAMGO,0.28865255805844964
12,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3095770790523801
12,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.35693128254027306
12,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.3750212367787534
13,Control,Control,0.3756280835114605
