run_seed,Condition,Frequency Irregularity,Condition
1,Control,0.22115655172075263,Control
1,DAMGO,0.1336583936861061,DAMGO
1,DAMGO + $G_{NaP} \times 1.1$,0.16044271793754605,DAMGO + $G_{NaP} \times 1.1$
1,DAMGO + $G_{NaP} \times 1.3$,0.0757676237752851,DAMGO + $G_{NaP} \times 1.3$
1,DAMGO + $G_{NaP} \times 1.5$,0.15917257391252934,DAMGO + $G_{NaP} \times 1.5$
2,Control,0.3560669805922319,Control
2,DAMGO,0.4160385137287956,DAMGO
2,DAMGO + $G_{NaP} \times 1.1$,0.09437314132381226,DAMGO + $G_{NaP} \times 1.1$
2,DAMGO + $G_{NaP} \times 1.3$,0.1495397007083904,DAMGO + $G_{NaP} \times 1.3$
2,DAMGO + $G_{NaP} \times 1.5$,0.15457379491799392,DAMGO + $G_{NaP} \times 1.5$
3,Control,0.17006042696404566,Control
3,DAMGO,0.13803687701809983,DAMGO
3,DAMGO + $G_{NaP} \times 1.1$,0.022184819771885796,DAMGO + $G_{NaP} \times 1.1$
3,DAMGO + $G_{NaP} \times 1.3$,0.08148307730718737,DAMGO + $G_{NaP} \times 1.3$
3,DAMGO + $G_{NaP} \times 1.5$,0.11657446483498776,DAMGO + $G_{NaP} \times 1.5$
4,Control,0.16957660200110033,Control
4,DAMGO,0.14868737928940667,DAMGO
4,DAMGO + $G_{NaP} \times 1.1$,0.15492377361781628,DAMGO + $G_{NaP} \times 1.1$
4,DAMGO + $G_{NaP} \times 1.3$,0.09748318223180644,DAMGO + $G_{NaP} \times 1.3$
4,DAMGO + $G_{NaP} \times 1.5$,0.11172105510515157,DAMGO + $G_{NaP} \times 1.5$
5,Control,0.13829974413421983,Control
5,DAMGO,0.25037363245304,DAMGO
5,DAMGO + $G_{NaP} \times 1.1$,0.104299630537699,DAMGO + $G_{NaP} \times 1.1$
5,DAMGO + $G_{NaP} \times 1.3$,0.06350422100725263,DAMGO + $G_{NaP} \times 1.3$
5,DAMGO + $G_{NaP} \times 1.5$,0.13271966516736905,DAMGO + $G_{NaP} \times 1.5$
6,Control,0.11962020096580614,Control
6,DAMGO,0.07876048605056761,DAMGO
6,DAMGO + $G_{NaP} \times 1.1$,0.05297776537889716,DAMGO + $G_{NaP} \times 1.1$
6,DAMGO + $G_{NaP} \times 1.3$,0.03769344227477688,DAMGO + $G_{NaP} \times 1.3$
6,DAMGO + $G_{NaP} \times 1.5$,0.09742953509348203,DAMGO + $G_{NaP} \times 1.5$
7,Control,0.18375834745291528,Control
7,DAMGO,0.23501786437376168,DAMGO
7,DAMGO + $G_{NaP} \times 1.1$,0.10420051393623792,DAMGO + $G_{NaP} \times 1.1$
7,DAMGO + $G_{NaP} \times 1.3$,0.18393084749292232,DAMGO + $G_{NaP} \times 1.3$
7,DAMGO + $G_{NaP} \times 1.5$,0.17761996232431565,DAMGO + $G_{NaP} \times 1.5$
8,Control,0.6045508428486149,Control
8,DAMGO,0.29342792143059687,DAMGO
8,DAMGO + $G_{NaP} \times 1.1$,0.14106761718230226,DAMGO + $G_{NaP} \times 1.1$
8,DAMGO + $G_{NaP} \times 1.3$,0.12169448247413123,DAMGO + $G_{NaP} \times 1.3$
8,DAMGO + $G_{NaP} \times 1.5$,0.15611015788994223,DAMGO + $G_{NaP} \times 1.5$
9,Control,0.13719116492074582,Control
9,DAMGO,0.27756970633100053,DAMGO
9,DAMGO + $G_{NaP} \times 1.1$,0.1360240635724986,DAMGO + $G_{NaP} \times 1.1$
9,DAMGO + $G_{NaP} \times 1.3$,0.24580393703138112,DAMGO + $G_{NaP} \times 1.3$
9,DAMGO + $G_{NaP} \times 1.5$,0.3017855065121045,DAMGO + $G_{NaP} \times 1.5$
10,Control,0.22077613491287354,Control
10,DAMGO,0.23879939013278362,DAMGO
10,DAMGO + $G_{NaP} \times 1.1$,0.44096579187024226,DAMGO + $G_{NaP} \times 1.1$
10,DAMGO + $G_{NaP} \times 1.3$,0.48368964215063814,DAMGO + $G_{NaP} \times 1.3$
10,DAMGO + $G_{NaP} \times 1.5$,0.25699231469611455,DAMGO + $G_{NaP} \times 1.5$
11,Control,0.22778099751463912,Control
11,DAMGO,0.31952798578769515,DAMGO
11,DAMGO + $G_{NaP} \times 1.1$,0.1590810054394687,DAMGO + $G_{NaP} \times 1.1$
11,DAMGO + $G_{NaP} \times 1.3$,0.20231061856340646,DAMGO + $G_{NaP} \times 1.3$
