,ctrl_t_count,ctrl_b_count,ctrl_q_count,damgo_t_count,damgo_b_count,damgo_q_count
1,115,19,166,3,20,277
2,121,23,156,5,26,269
3,119,22,159,6,21,273
4,113,25,162,5,15,280
5,122,19,159,5,24,271
6,121,11,168,7,9,284
7,120,19,161,4,18,278
8,118,22,160,4,22,274
9,117,19,164,3,17,280
10,120,19,161,3,18,279
11,118,20,162,2,17,281
12,129,18,153,10,22,268
13,141,10,149,21,13,266
14,124,23,153,8,24,268
15,126,16,158,11,20,269
16,118,18,164,1,17,282
17,108,15,177,3,14,283
18,107,17,176,1,8,291
19,133,18,149,13,23,264
20,98,23,179,2,8,290
21,118,15,167,2,18,280
22,109,23,168,1,19,280
23,121,20,159,2,22,276
24,114,20,166,2,14,284
25,114,30,156,3,27,270
26,120,14,166,3,20,277
27,102,22,176,1,12,287
28,113,23,164,2,18,280
29,118,23,159,3,22,275
30,129,19,152,10,25,265
31,133,22,145,13,28,259
32,115,15,170,2,13,285
33,113,22,165,6,15,279
34,115,16,169,0,16,284
35,104,17,179,1,5,294
36,120,24,156,5,29,266
37,119,23,158,3,25,272
38,111,25,164,4,18,278
39,105,17,178,0,7,293
40,119,24,157,3,27,270
